r,l,t
9823.388861179352,795,3295.214522600174
9826.777769565582,780,3297.4387702941895
5084.317023336887,4500,3310.52427482605
9823.444442749023,795,3313.407366991043
9822.4999640584,799,3315.9658839702606
9825.388876080513,786,3318.481766462326
5084.317021608353,4500,3331.9685564041138
9835.499981045723,741,3334.0604071617126
4810.18126553297,4500,3347.271109342575
9832.055507361889,756,3349.354168176651
9827.22218978405,778,3351.4456734657288
9822.499983668327,799,3353.6449871063232
5094.751254737377,4500,3365.2831819057465
9826.833328604698,780,3367.4639163017273
4744.730176448822,4500,3379.0239391326904
9826.222175836563,782,3381.2476711273193
9823.49998396635,795,3383.505487203598
9835.833335399628,739,3385.501914024353
9832.111054360867,756,3387.544430732727
4844.329663991928,4500,3399.6744356155396
9822.444439172745,799,3401.9730274677277
5002.740295231342,4500,3414.8123977184296
4827.255465209484,4500,3426.6084167957306
9831.777746140957,757,3428.9484643936157
5091.905554890633,4500,3440.4747982025146
9826.777726531029,780,3442.649174451828
9822.388879299164,800,3444.8177812099457
9822.888882517815,797,3446.9840955734253
9822.944424569607,797,3449.252829551697
7041.209937810898,4500,3462.302251815796
4812.07840180397,4500,3476.117938041687
8515.282445430756,4500,3488.450880765915
9823.388880431652,795,3490.786800146103
9825.388859808445,786,3493.1281237602234
5159.253784298897,4500,3506.868371963501
9823.22221505642,796,3509.486008644104
9825.38888067007,786,3512.2593789100647
9823.499961316586,795,3514.5170040130615
8319.87772321701,4500,3527.21901345253
9825.333333849907,786,3529.5724518299103
9842.333300352097,710,3531.9154722690582
4875.632363915443,4500,3545.461588382721
9823.277738928795,796,3547.845333814621
9831.88886553049,757,3550.6405754089355
5084.3170211315155,4500,3564.5050101280212
8383.431683599949,4500,3577.229011297226
9823.222238004208,796,3579.5878019332886
9823.055529296398,797,3582.008829832077
9823.11110907793,796,3584.423388004303
9826.833328604698,780,3586.775212287903
5070.088521659374,485,3588.305205345154
9823.444404423237,795,3590.7340750694275
9823.388905465603,795,3593.119517803192
9823.555552065372,794,3595.5154178142548
4844.329666078091,4500,3608.058570623398
9823.555512726307,794,3610.3346877098083
8317.980589807034,4500,3622.65997171402
9827.166648209095,778,3624.961669921875
9827.222184538841,778,3627.2876052856445
7346.648384332657,4500,3639.720101594925
9856.333303809166,647,3641.565156698227
8544.68800997734,4500,3654.3517773151398
8546.58514791727,4500,3666.4767122268677
9826.999958395958,779,3668.7790200710297
9822.94441998005,797,3671.1233859062195
9822.944403111935,797,3673.488859653473
9835.777734816074,739,3675.679859638214
9825.333332538605,786,3678.020138502121
9832.055496096611,756,3680.271387577057
9827.166625857353,778,3682.5752425193787
9832.111054301262,756,3684.7901332378387
9827.11108481884,778,3687.0600633621216
8534.253776013851,4500,3699.5578331947327
5011.277395248413,4500,3712.134822368622
9822.94441485405,797,3714.503653049469
9822.944443166256,797,3716.8516948223114
9835.888854384422,739,3719.023544073105
5104.236920416355,4500,3731.591689825058
9826.944422066212,779,3734.079808950424
9823.44440805912,795,3736.896356344223
5093.802686870098,4500,3749.638043165207
9823.499983429909,795,3751.9271292686462
9823.444444537163,795,3754.1985721588135
9821.88887232542,802,3756.5218279361725
4841.4839643239975,4500,3768.9107522964478
9825.388875186443,786,3771.1828241348267
9827.111083209515,778,3773.7537729740143
7695.720897495747,4500,3786.4951314926147
9822.944400906563,797,3788.7701227664948
9835.555544495583,740,3790.879604101181
5086.214152038097,4500,3803.3949522972107
8304.700660169125,4500,3815.0496468544006
9822.888881206512,797,3817.2043261528015
9822.944404304028,797,3819.356347322464
8543.739444434643,4500,3831.057548046112
9832.33330065012,755,3833.2094008922577
8305.649224579334,4500,3845.1130616664886
9832.0555113554,756,3847.280782222748
8535.202339828014,4500,3858.9428322315216
9831.88882625103,757,3861.004108428955
7695.720895528793,4500,3873.122718811035
5093.8026876449585,4500,3884.828105211258
9823.222216367722,796,3887.1059169769287
9831.611104905605,758,3889.274657726288
9823.444442033768,795,3891.5582613945007
9857.333291351795,642,3893.4031257629395
4850.969630479813,4500,3905.662134170532
9827.33333516121,777,3908.2733149528503
9826.888872265816,779,3910.7032704353333
9826.833334743977,780,3913.041522502899
9835.944399893284,739,3915.330594778061
9823.499981045723,795,3917.8943259716034
9823.166667222977,796,3920.247208595276
9823.388879716396,795,3922.7057807445526
9831.499980688095,759,3925.490800142288
5084.317023932934,4500,3939.25328040123
9823.055513620377,797,3941.7905843257904
5085.265587747097,4500,3954.4502868652344
9827.166625916958,778,3956.7673559188843
9823.444403350353,795,3959.1164009571075
9823.444442808628,795,3961.46085524559
9828.555554687977,772,3963.9562582969666
9823.500006914139,795,3966.7226054668427
9822.666643500328,798,3969.633763074875
9823.055509865284,797,3972.3052880764008
4832.94686460495,4500,3985.899091720581
7410.202340722084,4500,4000.3304858207703
9854.222208321095,656,4002.5083916187286
9822.944404780865,797,4004.919025659561
9823.05551147461,797,4007.2906243801117
9827.11109817028,778,4009.6020832061768
5093.802688360214,4500,4024.451468706131
